Variable,Value,ValueDescription,QuestionOrMeaning,FreeText,Type
B2_9__add_rep,months; No; NA,,Biomass for b oiler Has been ad d ed or replaced in the last 12,FALSE,Primary
B2_10__add_rep,months; No; NA,,District or co mmunity heating Has been ad d ed or replaced in the last 12,FALSE,Primary
B2_11__add_rep,months; No; NA,,Other Has been ad d ed or replaced in the last 12,FALSE,Primary
B2_1_err,ating TRUE/FALSE,,No central he,FALSE,Derived
B2_2_err,boiler TRUE/FALSE,,"Gas e.g., gas",FALSE,Derived
B2_3_err,s (not TRUE/FALSE,,Electric stora ge heater electric radiat ors),FALSE,Derived
B2_4_err,electric TRUE/FALSE,,Electric radia tors (not storage heate rs),FALSE,Derived
B2_5_err,Heat pump TRUE/FALSE,,,FALSE,Derived
B2_6_err,Other electric TRUE/FALSE,,,FALSE,Derived
B2_7_err,Oil TRUE/FALSE,,,FALSE,Derived
B2_8_err,r coal TRUE/FALSE,,"Solid fuel, e.g . wood o",FALSE,Derived
B2_9_err,oiler TRUE/FALSE,,Biomass for b,FALSE,Derived
B2_10_err,heating TRUE/FALSE,,District or co mmunity,FALSE,Derived
B2_11_err,Other TRUE/FALSE,,,FALSE,Derived
B3_1_yes,city Yes; No; No r esp on se,,Solar panels for electri,FALSE,Primary
B3_2_yes,eating Yes; No; No r esp on se,,Solar water h,FALSE,Primary
B3_3_yes,wired into Yes; No; No r esp on se,,Battery stora ge that is your mains e lectricity,FALSE,Primary
B3_4_yes,arging Yes; No; No r esp on se,,Electric vehic le (EV) ch point,FALSE,Primary
B3_5_yes,t of your Yes; No; No r esp on se,,LED light bul bs in mos lights,FALSE,Primary
B3_6_yes,g areas Yes; No; No r esp on se,,Radiators in main livin,FALSE,Primary
B3_7_yes,valves on Yes; No; No r esp on se,,Thermostatic radiator at least half o f your ra diators,FALSE,Primary
B3_8_yes,main living Yes; No; No r esp on se,,Underfloor he ating in areas,FALSE,Primary
B3_9_yes,g units in main Yes; No; No resp on se,,Warm air heatin living areas,FALSE,Primary
B3_10_yes,thermostat Yes; No; No resp on se,,Central heating,FALSE,Primary
B3_11_yes,time clock / Yes; No; No resp on se,,Central heating programmer,FALSE,Primary
B3_12_yes,"ontrol (e.g., Yes; No; No resp on se",,"Smart heating c Nest, Hive, Tado )",FALSE,Primary
B3_13_yes,er Yes; No; No resp on se,,Hot water cylind,FALSE,Primary
B3_14_yes,t on hot water Yes; No; No resp on se,,Insulating jacke cylinder,FALSE,Primary
B3_15_yes,ot water cylinder Yes; No; No resp on se,,Thermostat on h,FALSE,Primary
B3_16_yes,Other Yes; No; No resp on se,,,FALSE,Primary
B3_1_add_rep,months; N o; NA,,Solar panels for electricity Has been ad ded or replaced in the last 12,FALSE,Primary
B3_2_add_rep,months; N o; NA,,Solar water hea ting Has been ad ded or replaced in the last 12,FALSE,Primary
B3_3_add_rep,tricity months; N o; NA,,Battery storage that is wired into Has been ad ded or replaced in the last 12 your mains elec,FALSE,Primary
B3_4_add_rep,point months; N o; NA,,Electric vehicle ( EV) charging Has been ad ded or replaced in the last 12,FALSE,Primary
B3_5_add_rep,lights months; N o; NA,,LED light bulbs i n most of your Has been ad ded or replaced in the last 12,FALSE,Primary
B3_6_add_rep,months; N o; NA,,Radiators in mai n living areas Has been ad ded or replaced in the last 12,FALSE,Primary
B3_7_add_rep,our radiators months; N o; NA,,Thermostatic ra diator valves on Has been ad ded or replaced in the last 12 at least half of y,FALSE,Primary
B3_8_add_rep,areas months; N o; NA,,Underfloor heati ng in main living Has been ad ded or replaced in the last 12,FALSE,Primary
B3_9_add_rep,living areas months; N o; NA,,Warm air heatin g units in main Has been ad ded or replaced in the last 12,FALSE,Primary
B3_10_add_rep,months; N o; NA,,Central heating thermostat Has been ad ded or replaced in the last 12,FALSE,Primary
B3_11_add_rep,programmer months; N o; NA,,Central heating time clock / Has been ad ded or replaced in the last 12,FALSE,Primary
B3_12_add_rep,) months; N o; NA,,"Smart heating c ontrol (e.g., Has been ad ded or replaced in the last 12 Nest, Hive, Tado",FALSE,Primary
B3_13_add_rep,months; No; NA,,Hot water cylin der Has been add ed or replaced in th e last 12,FALSE,Primary
