Variable,Value,ValueDescription,QuestionOrMeaning,FreeText,Type
Q20_15,1,Yes,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use the vacuum cleaner at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_16,-9,Not applicable,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use the electric shower at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_16,-3,Prefer not to say,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use the electric shower at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_16,-2,No answer,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use the electric shower at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_16,-1,Don't know,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use the electric shower at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_16,0,No,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use the electric shower at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_16,1,Yes,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use the electric shower at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_17,-9,Not applicable,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use the laptop/computer(s) at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_17,-3,Prefer not to say,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use the laptop/computer(s) at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_17,-2,No answer,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use the laptop/computer(s) at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_17,-1,Don't know,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use the laptop/computer(s) at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_17,0,No,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use the laptop/computer(s) at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_17,1,Yes,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use the laptop/computer(s) at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_18,-9,Not applicable,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use the TV at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_18,-3,Prefer not to say,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use the TV at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_18,-2,No answer,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use the TV at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_18,-1,Don't know,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use the TV at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_18,0,No,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use the TV at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_18,1,Yes,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use the TV at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_19,-9,Not applicable,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use the smart home assistants / speakers (e.g. Alexa) at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_19,-3,Prefer not to say,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use the smart home assistants / speakers (e.g. Alexa) at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_19,-2,No answer,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use the smart home assistants / speakers (e.g. Alexa) at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_19,-1,Don't know,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use the smart home assistants / speakers (e.g. Alexa) at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_19,0,No,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use the smart home assistants / speakers (e.g. Alexa) at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_19,1,Yes,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use the smart home assistants / speakers (e.g. Alexa) at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_2,-9,Not applicable,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use the gas oven at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_2,-3,Prefer not to say,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use the gas oven at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_2,-2,No answer,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use the gas oven at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_2,-1,Don't know,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use the gas oven at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_2,0,No,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use the gas oven at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_2,1,Yes,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use the gas oven at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_20,-9,Not applicable,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use other smart home solutions, like smart plugs or app enabled appliances, at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_20,-3,Prefer not to say,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use other smart home solutions, like smart plugs or app enabled appliances, at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_20,-2,No answer,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use other smart home solutions, like smart plugs or app enabled appliances, at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_20,-1,Don't know,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use other smart home solutions, like smart plugs or app enabled appliances, at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_20,0,No,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use other smart home solutions, like smart plugs or app enabled appliances, at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_20,1,Yes,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use other smart home solutions, like smart plugs or app enabled appliances, at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_21,-9,Not applicable,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use the air conditioning unit at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_21,-3,Prefer not to say,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use the air conditioning unit at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_21,-2,No answer,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use the air conditioning unit at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_21,-1,Don't know,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use the air conditioning unit at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_21,0,No,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use the air conditioning unit at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_21,1,Yes,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use the air conditioning unit at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_22,-9,Not applicable,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use the cooling fan at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_22,-3,Prefer not to say,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use the cooling fan at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_22,-2,No answer,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use the cooling fan at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_22,-1,Don't know,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use the cooling fan at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_22,0,No,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use the cooling fan at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_22,1,Yes,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use the cooling fan at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_23,-9,Not applicable,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use the dehumidifier at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_23,-3,Prefer not to say,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use the dehumidifier at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_23,-2,No answer,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use the dehumidifier at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_23,-1,Don't know,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use the dehumidifier at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_23,0,No,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use the dehumidifier at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_23,1,Yes,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use the dehumidifier at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_24,-9,Not applicable,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use the humidifier at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_24,-3,Prefer not to say,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use the humidifier at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_24,-2,No answer,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use the humidifier at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_24,-1,Don't know,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use the humidifier at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_24,0,No,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use the humidifier at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_24,1,Yes,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use the humidifier at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_25,-9,Not applicable,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use the electric heater at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_25,-3,Prefer not to say,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use the electric heater at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_25,-2,No answer,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use the electric heater at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_25,-1,Don't know,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use the electric heater at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_25,0,No,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use the electric heater at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_25,1,Yes,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use the electric heater at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_26,-9,Not applicable,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use the electric heater at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_26,-3,Prefer not to say,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use the electric heater at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_26,-2,No answer,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use the electric heater at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_26,-1,Don't know,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use the electric heater at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_26,0,No,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use the electric heater at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_26,1,Yes,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use the electric heater at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_27,-9,Not applicable,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use the e-bike at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_27,-3,Prefer not to say,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use the e-bike at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_27,-2,No answer,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use the e-bike at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_27,-1,Don't know,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use the e-bike at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_27,0,No,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use the e-bike at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_27,1,Yes,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use the e-bike at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_28,-9,Not applicable,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use the e-cargo bike at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_28,-3,Prefer not to say,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use the e-cargo bike at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_28,-2,No answer,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use the e-cargo bike at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_28,-1,Don't know,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use the e-cargo bike at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_28,0,No,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use the e-cargo bike at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_28,1,Yes,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use the e-cargo bike at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_29,-9,Not applicable,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use or charge any of these appliances at a different time of day compared to weekdays when you are away from home? No",FALSE,Primary
Q20_29,-3,Prefer not to say,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use or charge any of these appliances at a different time of day compared to weekdays when you are away from home? No",FALSE,Primary
Q20_29,-2,No answer,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use or charge any of these appliances at a different time of day compared to weekdays when you are away from home? No",FALSE,Primary
Q20_29,-1,Don't know,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use or charge any of these appliances at a different time of day compared to weekdays when you are away from home? No",FALSE,Primary
Q20_29,0,No,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use or charge any of these appliances at a different time of day compared to weekdays when you are away from home? No",FALSE,Primary
Q20_29,1,Yes,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use or charge any of these appliances at a different time of day compared to weekdays when you are away from home? No",FALSE,Primary
Q20_3,-9,Not applicable,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use the electric hob at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_3,-3,Prefer not to say,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use the electric hob at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_3,-2,No answer,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use the electric hob at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_3,-1,Don't know,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use the electric hob at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_3,0,No,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use the electric hob at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_3,1,Yes,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use the electric hob at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_30,0,No,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use the microwave at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_30,1,Yes,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use the microwave at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_31,0,No,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use the air fryer at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_31,1,Yes,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use the air fryer at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_32,0,No,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use the slow cooker at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_32,1,Yes,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use the slow cooker at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_33,0,No,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use the smart plug at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_33,1,Yes,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use the smart plug at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_34,0,No,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use the smart thermostat at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_34,1,Yes,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use the smart thermostat at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_4,-9,Not applicable,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use the electric induction hob at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_4,-3,Prefer not to say,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use the electric induction hob at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_4,-2,No answer,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use the electric induction hob at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_4,-1,Don't know,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use the electric induction hob at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_4,0,No,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use the electric induction hob at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_4,1,Yes,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use the electric induction hob at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_5,-9,Not applicable,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use the gas hob at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_5,-3,Prefer not to say,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use the gas hob at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_5,-2,No answer,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use the gas hob at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_5,-1,Don't know,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use the gas hob at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_5,0,No,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use the gas hob at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_5,1,Yes,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use the gas hob at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_6,-9,Not applicable,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use other kitchen appliances (e.g. Micorwave/ Air fryer/ Instant pot) at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_6,-3,Prefer not to say,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use other kitchen appliances (e.g. Micorwave/ Air fryer/ Instant pot) at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_6,-2,No answer,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use other kitchen appliances (e.g. Micorwave/ Air fryer/ Instant pot) at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_6,-1,Don't know,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use other kitchen appliances (e.g. Micorwave/ Air fryer/ Instant pot) at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_6,0,No,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use other kitchen appliances (e.g. Micorwave/ Air fryer/ Instant pot) at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_6,1,Yes,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use other kitchen appliances (e.g. Micorwave/ Air fryer/ Instant pot) at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_7,1,Always,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use the dishwasher at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_7,2,Very often,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use the dishwasher at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_7,3,Quite often,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use the dishwasher at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_7,4,Not very often,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use the dishwasher at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_7,5,Never,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use the dishwasher at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_7,6,Not applicable,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use the dishwasher at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_7,7,cannot do this,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use the dishwasher at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_7,8,"Not applicable, cannot do this","When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use the dishwasher at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_7,9,No response,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use the dishwasher at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_8,-9,Not applicable,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use the fridge or combined fridge freezer at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_8,-3,Prefer not to say,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use the fridge or combined fridge freezer at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_8,-2,No answer,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use the fridge or combined fridge freezer at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_8,-1,Don't know,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use the fridge or combined fridge freezer at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_8,0,No,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use the fridge or combined fridge freezer at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_8,1,Yes,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use the fridge or combined fridge freezer at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_9,-9,Not applicable,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use the separate stand-alone freezer at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_9,-3,Prefer not to say,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use the separate stand-alone freezer at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_9,-2,No answer,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use the separate stand-alone freezer at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_9,-1,Don't know,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use the separate stand-alone freezer at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_9,0,No,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use the separate stand-alone freezer at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q20_9,1,Yes,"When you are working or engaging in other activities (e.g. childcare) from home on weekdays, do you tend to use the separate stand-alone freezer at a different time of day compared to weekdays when you are away from home?",FALSE,Primary
Q21,-9,Not applicable,"How often, if at all, do you or anyone in your household look at information about how much energy you are using (or your credit balance) through your smart meter In-Home Display/Smart Energy Display?",FALSE,Primary
Q21,-3,Prefer not to say,"How often, if at all, do you or anyone in your household look at information about how much energy you are using (or your credit balance) through your smart meter In-Home Display/Smart Energy Display?",FALSE,Primary
Q21,-2,No answer,"How often, if at all, do you or anyone in your household look at information about how much energy you are using (or your credit balance) through your smart meter In-Home Display/Smart Energy Display?",FALSE,Primary
Q21,-1,Don't know,"How often, if at all, do you or anyone in your household look at information about how much energy you are using (or your credit balance) through your smart meter In-Home Display/Smart Energy Display?",FALSE,Primary
Q21,1,Most days,"How often, if at all, do you or anyone in your household look at information about how much energy you are using (or your credit balance) through your smart meter In-Home Display/Smart Energy Display?",FALSE,Primary
Q21,2,About once or twice per week,"How often, if at all, do you or anyone in your household look at information about how much energy you are using (or your credit balance) through your smart meter In-Home Display/Smart Energy Display?",FALSE,Primary
Q21,3,About once or twice per month,"How often, if at all, do you or anyone in your household look at information about how much energy you are using (or your credit balance) through your smart meter In-Home Display/Smart Energy Display?",FALSE,Primary
Q21,4,Less often than once per month,"How often, if at all, do you or anyone in your household look at information about how much energy you are using (or your credit balance) through your smart meter In-Home Display/Smart Energy Display?",FALSE,Primary
Q21,5,Never,"How often, if at all, do you or anyone in your household look at information about how much energy you are using (or your credit balance) through your smart meter In-Home Display/Smart Energy Display?",FALSE,Primary
Q21,6,I don't have this,"How often, if at all, do you or anyone in your household look at information about how much energy you are using (or your credit balance) through your smart meter In-Home Display/Smart Energy Display?",FALSE,Primary
Q21,7,It is not working,"How often, if at all, do you or anyone in your household look at information about how much energy you are using (or your credit balance) through your smart meter In-Home Display/Smart Energy Display?",FALSE,Primary
Q21,8,Don't know,"How often, if at all, do you or anyone in your household look at information about how much energy you are using (or your credit balance) through your smart meter In-Home Display/Smart Energy Display?",FALSE,Primary
Q22R1,-9,Not applicable,How often do you .. Switch off lights,FALSE,Primary
Q22R1,-3,Prefer not to say,How often do you .. Switch off lights,FALSE,Primary
