Variable,Value,ValueDescription,QuestionOrMeaning,FreeText,Type
Q5_10,-9,Not applicable,Do you have snake?,FALSE,Primary
Q5_10,-3,Prefer not to say,Do you have snake?,FALSE,Primary
Q5_10,-2,No answer,Do you have snake?,FALSE,Primary
Q5_10,-1,Don't know,Do you have snake?,FALSE,Primary
Q5_10,0,No,Do you have snake?,FALSE,Primary
Q5_10,1,Yes,Do you have snake?,FALSE,Primary
Q5_11,-9,Not applicable,Do you have domestic fowl?,FALSE,Primary
Q5_11,-3,Prefer not to say,Do you have domestic fowl?,FALSE,Primary
Q5_11,-2,No answer,Do you have domestic fowl?,FALSE,Primary
Q5_11,-1,Don't know,Do you have domestic fowl?,FALSE,Primary
Q5_11,0,No,Do you have domestic fowl?,FALSE,Primary
Q5_11,1,Yes,Do you have domestic fowl?,FALSE,Primary
Q5_12,-9,Not applicable,Do you have indoor fish?,FALSE,Primary
Q5_12,-3,Prefer not to say,Do you have indoor fish?,FALSE,Primary
Q5_12,-2,No answer,Do you have indoor fish?,FALSE,Primary
Q5_12,-1,Don't know,Do you have indoor fish?,FALSE,Primary
Q5_12,0,No,Do you have indoor fish?,FALSE,Primary
Q5_12,1,Yes,Do you have indoor fish?,FALSE,Primary
Q5_13,-9,Not applicable,Do you have other pets?,FALSE,Primary
Q5_13,-3,Prefer not to say,Do you have other pets?,FALSE,Primary
Q5_13,-2,No answer,Do you have other pets?,FALSE,Primary
Q5_13,-1,Don't know,Do you have other pets?,FALSE,Primary
Q5_13,0,No,Do you have other pets?,FALSE,Primary
Q5_13,1,Yes,Do you have other pets?,FALSE,Primary
Q5_2,-9,Not applicable,Do you have dog?,FALSE,Primary
Q5_2,-3,Prefer not to say,Do you have dog?,FALSE,Primary
Q5_2,-2,No answer,Do you have dog?,FALSE,Primary
Q5_2,-1,Don't know,Do you have dog?,FALSE,Primary
Q5_2,0,No,Do you have dog?,FALSE,Primary
Q5_2,1,Yes,Do you have dog?,FALSE,Primary
Q5_3,-9,Not applicable,Do you have cat?,FALSE,Primary
Q5_3,-3,Prefer not to say,Do you have cat?,FALSE,Primary
Q5_3,-2,No answer,Do you have cat?,FALSE,Primary
Q5_3,-1,Don't know,Do you have cat?,FALSE,Primary
Q5_3,0,No,Do you have cat?,FALSE,Primary
Q5_3,1,Yes,Do you have cat?,FALSE,Primary
Q5_4,-9,Not applicable,Do you have rabbit?,FALSE,Primary
Q5_4,-3,Prefer not to say,Do you have rabbit?,FALSE,Primary
Q5_4,-2,No answer,Do you have rabbit?,FALSE,Primary
Q5_4,-1,Don't know,Do you have rabbit?,FALSE,Primary
Q5_4,0,No,Do you have rabbit?,FALSE,Primary
Q5_4,1,Yes,Do you have rabbit?,FALSE,Primary
Q5_5,-9,Not applicable,Do you have indoor bird?,FALSE,Primary
Q5_5,-3,Prefer not to say,Do you have indoor bird?,FALSE,Primary
Q5_5,-2,No answer,Do you have indoor bird?,FALSE,Primary
Q5_5,-1,Don't know,Do you have indoor bird?,FALSE,Primary
Q5_5,0,No,Do you have indoor bird?,FALSE,Primary
Q5_5,1,Yes,Do you have indoor bird?,FALSE,Primary
Q5_6,-9,Not applicable,Do you have guinea pigs?,FALSE,Primary
Q5_6,-3,Prefer not to say,Do you have guinea pigs?,FALSE,Primary
Q5_6,-2,No answer,Do you have guinea pigs?,FALSE,Primary
