Variable,QuestionText,ResponseValue,ResponseDescription
Q6_1,"Thinking about the lockdown period, how often did your household open the windows in your home on the following types of days? - On a cold day during lockdown",16,Not very often
Q6_1,"Thinking about the lockdown period, how often did your household open the windows in your home on the following types of days? - On a cold day during lockdown",17,Never
Q6_1,"Thinking about the lockdown period, how often did your household open the windows in your home on the following types of days? - On a cold day during lockdown",18,Don't know
Q6_2,"Thinking about the lockdown period, how often did your household open the windows in your home on the following types of days? - On a warm day during lockdown",7,Always
Q6_2,"Thinking about the lockdown period, how often did your household open the windows in your home on the following types of days? - On a warm day during lockdown",14,Very often
Q6_2,"Thinking about the lockdown period, how often did your household open the windows in your home on the following types of days? - On a warm day during lockdown",15,Quite often
Q6_2,"Thinking about the lockdown period, how often did your household open the windows in your home on the following types of days? - On a warm day during lockdown",16,Not very often
Q6_2,"Thinking about the lockdown period, how often did your household open the windows in your home on the following types of days? - On a warm day during lockdown",17,Never
Q6_2,"Thinking about the lockdown period, how often did your household open the windows in your home on the following types of days? - On a warm day during lockdown",18,Don't know
Q7,"Do you have any problems with condensation, damp, or mould in your home?",1,Yes
Q7,"Do you have any problems with condensation, damp, or mould in your home?",2,No
Q7,"Do you have any problems with condensation, damp, or mould in your home?",3,Don't know
Q8b,Was this?,1,More hours than before the lockdown
Q8b,Was this?,2,Fewer hours than before the lockdown
Q8b,Was this?,3,About the same number of hours
Q8b,Was this?,4,Cannot remember/ Not applicable
Q9,"Thinking again about when it was cold during the lockdown, what temperature did you set your controller to for the late afternoons or evenings?

If you have more than one controller, choose what you would consider the main one. - Selected Choice",1,Degrees Celsius (°C)
Q9,"Thinking again about when it was cold during the lockdown, what temperature did you set your controller to for the late afternoons or evenings?

If you have more than one controller, choose what you would consider the main one. - Selected Choice",2,Degrees Fahrenheit (°F)
Q9,"Thinking again about when it was cold during the lockdown, what temperature did you set your controller to for the late afternoons or evenings?

If you have more than one controller, choose what you would consider the main one. - Selected Choice",4,Cannot remember/not applicable
Q10,"Still thinking about when it was cold during lockdown, did you heat a different number of rooms in your home compared to before the lockdown using any form of heating system?",1,"Yes, I heated more rooms during lockdown"
Q10,"Still thinking about when it was cold during lockdown, did you heat a different number of rooms in your home compared to before the lockdown using any form of heating system?",2,"Yes, I heated fewer rooms during lockdown"
Q10,"Still thinking about when it was cold during lockdown, did you heat a different number of rooms in your home compared to before the lockdown using any form of heating system?",3,"No, about the same number of rooms during lockdown"
Q10,"Still thinking about when it was cold during lockdown, did you heat a different number of rooms in your home compared to before the lockdown using any form of heating system?",4,Don’t know / not applicable
Q11a_2_1_1,We would now like to ask you some questions about the hot water and electrical appliances you hav... - Not applicable - How many baths did your household take? (Don’t have this appliance/utility),1,(Don’t have this appliance/utility)
Q11a_2_2_1,We would now like to ask you some questions about the hot water and electrical appliances you hav... - Not applicable - How many showers did your household take? (Don’t have this appliance/utility),1,(Don’t have this appliance/utility)
Q11a_2_3_1,We would now like to ask you some questions about the hot water and electrical appliances you hav... - Not applicable - How many times did your household run the washing machine? (Don’t have this appliance/utility),1,(Don’t have this appliance/utility)
Q11a_2_4_1,We would now like to ask you some questions about the hot water and electrical appliances you hav... - Not applicable - How many times did your household use the tumble dryer? (Don’t have this appliance/utility),1,(Don’t have this appliance/utility)
Q11a_2_5_1,We would now like to ask you some questions about the hot water and electrical appliances you hav... - Not applicable - How many times did your household run the dishwasher? (Don’t have this appliance/utility),1,(Don’t have this appliance/utility)
Q11a_2_6_1,"We would now like to ask you some questions about the hot water and electrical appliances you hav... - Not applicable - How many times did your household use the cooker, oven or grill? (Don’t have this appliance/utility)",1,(Don’t have this appliance/utility)
Q11b_1,"For each activity, please compare it to how often your household used to do this before the lockdown started. - Baths taken a week: [QID20%231-ChoiceTextEntryValue-1-1]",1,This is more than before lockdown
Q11b_1,"For each activity, please compare it to how often your household used to do this before the lockdown started. - Baths taken a week: [QID20%231-ChoiceTextEntryValue-1-1]",2,This is fewer than before lockdown
Q11b_1,"For each activity, please compare it to how often your household used to do this before the lockdown started. - Baths taken a week: [QID20%231-ChoiceTextEntryValue-1-1]",3,This is about the same
Q11b_1,"For each activity, please compare it to how often your household used to do this before the lockdown started. - Baths taken a week: [QID20%231-ChoiceTextEntryValue-1-1]",4,Don't know
Q11b_2,"For each activity, please compare it to how often your household used to do this before the lockdown started. - Showers taken a week: [QID20%231-ChoiceTextEntryValue-2-1]",1,This is more than before lockdown
Q11b_2,"For each activity, please compare it to how often your household used to do this before the lockdown started. - Showers taken a week: [QID20%231-ChoiceTextEntryValue-2-1]",2,This is fewer than before lockdown
Q11b_2,"For each activity, please compare it to how often your household used to do this before the lockdown started. - Showers taken a week: [QID20%231-ChoiceTextEntryValue-2-1]",3,This is about the same
Q11b_2,"For each activity, please compare it to how often your household used to do this before the lockdown started. - Showers taken a week: [QID20%231-ChoiceTextEntryValue-2-1]",4,Don't know
Q11b_3,"For each activity, please compare it to how often your household used to do this before the lockdown started. - Washing machine run [QID20%231-ChoiceTextEntryValue-3-1] times a week",1,This is more than before lockdown
Q11b_3,"For each activity, please compare it to how often your household used to do this before the lockdown started. - Washing machine run [QID20%231-ChoiceTextEntryValue-3-1] times a week",2,This is fewer than before lockdown
Q11b_3,"For each activity, please compare it to how often your household used to do this before the lockdown started. - Washing machine run [QID20%231-ChoiceTextEntryValue-3-1] times a week",3,This is about the same
Q11b_3,"For each activity, please compare it to how often your household used to do this before the lockdown started. - Washing machine run [QID20%231-ChoiceTextEntryValue-3-1] times a week",4,Don't know
Q11b_4,"For each activity, please compare it to how often your household used to do this before the lockdown started. - Tumble dryer used [QID20%231-ChoiceTextEntryValue-4-1] times a week",1,This is more than before lockdown
Q11b_4,"For each activity, please compare it to how often your household used to do this before the lockdown started. - Tumble dryer used [QID20%231-ChoiceTextEntryValue-4-1] times a week",2,This is fewer than before lockdown
Q11b_4,"For each activity, please compare it to how often your household used to do this before the lockdown started. - Tumble dryer used [QID20%231-ChoiceTextEntryValue-4-1] times a week",3,This is about the same
Q11b_4,"For each activity, please compare it to how often your household used to do this before the lockdown started. - Tumble dryer used [QID20%231-ChoiceTextEntryValue-4-1] times a week",4,Don't know
Q11b_5,"For each activity, please compare it to how often your household used to do this before the lockdown started. - Dishwasher used [QID20%231-ChoiceTextEntryValue-5-1] times a week",1,This is more than before lockdown
Q11b_5,"For each activity, please compare it to how often your household used to do this before the lockdown started. - Dishwasher used [QID20%231-ChoiceTextEntryValue-5-1] times a week",2,This is fewer than before lockdown
Q11b_5,"For each activity, please compare it to how often your household used to do this before the lockdown started. - Dishwasher used [QID20%231-ChoiceTextEntryValue-5-1] times a week",3,This is about the same
