Variable,QuestionText,ResponseValue,ResponseDescription
Q22b_1_2_4,"Thinking about a typical weekday BEFORE the lockdown, when did your household do the following ac... - Time of day (before lockdown) - Having showers 4pm - 7.59pm",1,4pm - 7.59pm
Q22b_1_2_5,"Thinking about a typical weekday BEFORE the lockdown, when did your household do the following ac... - Time of day (before lockdown) - Having showers 8pm - 11.59 pm",1,8pm - 11.59 pm
Q22b_1_2_6,"Thinking about a typical weekday BEFORE the lockdown, when did your household do the following ac... - Time of day (before lockdown) - Having showers 12am - 3.59am",1,12am - 3.59am
Q22b_1_3_1,"Thinking about a typical weekday BEFORE the lockdown, when did your household do the following ac... - Time of day (before lockdown) - Running the washing machine 4am - 7.59am",1,4am - 7.59am
Q22b_1_3_2,"Thinking about a typical weekday BEFORE the lockdown, when did your household do the following ac... - Time of day (before lockdown) - Running the washing machine 8am - 11.59am",1,8am - 11.59am
Q22b_1_3_3,"Thinking about a typical weekday BEFORE the lockdown, when did your household do the following ac... - Time of day (before lockdown) - Running the washing machine 12pm - 3.59pm",1,12pm - 3.59pm
Q22b_1_3_4,"Thinking about a typical weekday BEFORE the lockdown, when did your household do the following ac... - Time of day (before lockdown) - Running the washing machine 4pm - 7.59pm",1,4pm - 7.59pm
Q22b_1_3_5,"Thinking about a typical weekday BEFORE the lockdown, when did your household do the following ac... - Time of day (before lockdown) - Running the washing machine 8pm - 11.59 pm",1,8pm - 11.59 pm
Q22b_1_3_6,"Thinking about a typical weekday BEFORE the lockdown, when did your household do the following ac... - Time of day (before lockdown) - Running the washing machine 12am - 3.59am",1,12am - 3.59am
Q22b_1_4_1,"Thinking about a typical weekday BEFORE the lockdown, when did your household do the following ac... - Time of day (before lockdown) - Using the tumble dryer 4am - 7.59am",1,4am - 7.59am
Q22b_1_4_2,"Thinking about a typical weekday BEFORE the lockdown, when did your household do the following ac... - Time of day (before lockdown) - Using the tumble dryer 8am - 11.59am",1,8am - 11.59am
Q22b_1_4_3,"Thinking about a typical weekday BEFORE the lockdown, when did your household do the following ac... - Time of day (before lockdown) - Using the tumble dryer 12pm - 3.59pm",1,12pm - 3.59pm
Q22b_1_4_4,"Thinking about a typical weekday BEFORE the lockdown, when did your household do the following ac... - Time of day (before lockdown) - Using the tumble dryer 4pm - 7.59pm",1,4pm - 7.59pm
Q22b_1_4_5,"Thinking about a typical weekday BEFORE the lockdown, when did your household do the following ac... - Time of day (before lockdown) - Using the tumble dryer 8pm - 11.59 pm",1,8pm - 11.59 pm
Q22b_1_4_6,"Thinking about a typical weekday BEFORE the lockdown, when did your household do the following ac... - Time of day (before lockdown) - Using the tumble dryer 12am - 3.59am",1,12am - 3.59am
Q22b_1_5_1,"Thinking about a typical weekday BEFORE the lockdown, when did your household do the following ac... - Time of day (before lockdown) - Running the dishwasher 4am - 7.59am",1,4am - 7.59am
Q22b_1_5_2,"Thinking about a typical weekday BEFORE the lockdown, when did your household do the following ac... - Time of day (before lockdown) - Running the dishwasher 8am - 11.59am",1,8am - 11.59am
Q22b_1_5_3,"Thinking about a typical weekday BEFORE the lockdown, when did your household do the following ac... - Time of day (before lockdown) - Running the dishwasher 12pm - 3.59pm",1,12pm - 3.59pm
Q22b_1_5_4,"Thinking about a typical weekday BEFORE the lockdown, when did your household do the following ac... - Time of day (before lockdown) - Running the dishwasher 4pm - 7.59pm",1,4pm - 7.59pm
Q22b_1_5_5,"Thinking about a typical weekday BEFORE the lockdown, when did your household do the following ac... - Time of day (before lockdown) - Running the dishwasher 8pm - 11.59 pm",1,8pm - 11.59 pm
Q22b_1_5_6,"Thinking about a typical weekday BEFORE the lockdown, when did your household do the following ac... - Time of day (before lockdown) - Running the dishwasher 12am - 3.59am",1,12am - 3.59am
Q22b_1_6_1,"Thinking about a typical weekday BEFORE the lockdown, when did your household do the following ac... - Time of day (before lockdown) - Using the oven, cooker or grill 4am - 7.59am",1,4am - 7.59am
Q22b_1_6_2,"Thinking about a typical weekday BEFORE the lockdown, when did your household do the following ac... - Time of day (before lockdown) - Using the oven, cooker or grill 8am - 11.59am",1,8am - 11.59am
Q22b_1_6_3,"Thinking about a typical weekday BEFORE the lockdown, when did your household do the following ac... - Time of day (before lockdown) - Using the oven, cooker or grill 12pm - 3.59pm",1,12pm - 3.59pm
Q22b_1_6_4,"Thinking about a typical weekday BEFORE the lockdown, when did your household do the following ac... - Time of day (before lockdown) - Using the oven, cooker or grill 4pm - 7.59pm",1,4pm - 7.59pm
Q22b_1_6_5,"Thinking about a typical weekday BEFORE the lockdown, when did your household do the following ac... - Time of day (before lockdown) - Using the oven, cooker or grill 8pm - 11.59 pm",1,8pm - 11.59 pm
Q22b_1_6_6,"Thinking about a typical weekday BEFORE the lockdown, when did your household do the following ac... - Time of day (before lockdown) - Using the oven, cooker or grill 12am - 3.59am",1,12am - 3.59am
Q22b_1_7_1,"Thinking about a typical weekday BEFORE the lockdown, when did your household do the following ac... - Time of day (before lockdown) - Having the TV on, including for playing games 4am - 7.59am",1,4am - 7.59am
Q22b_1_7_2,"Thinking about a typical weekday BEFORE the lockdown, when did your household do the following ac... - Time of day (before lockdown) - Having the TV on, including for playing games 8am - 11.59am",1,8am - 11.59am
Q22b_1_7_3,"Thinking about a typical weekday BEFORE the lockdown, when did your household do the following ac... - Time of day (before lockdown) - Having the TV on, including for playing games 12pm - 3.59pm",1,12pm - 3.59pm
Q22b_1_7_4,"Thinking about a typical weekday BEFORE the lockdown, when did your household do the following ac... - Time of day (before lockdown) - Having the TV on, including for playing games 4pm - 7.59pm",1,4pm - 7.59pm
Q22b_1_7_5,"Thinking about a typical weekday BEFORE the lockdown, when did your household do the following ac... - Time of day (before lockdown) - Having the TV on, including for playing games 8pm - 11.59 pm",1,8pm - 11.59 pm
Q22b_1_7_6,"Thinking about a typical weekday BEFORE the lockdown, when did your household do the following ac... - Time of day (before lockdown) - Having the TV on, including for playing games 12am - 3.59am",1,12am - 3.59am
Q22b_1_8_1,"Thinking about a typical weekday BEFORE the lockdown, when did your household do the following ac... - Time of day (before lockdown) - Using a laptop, computer, or tablet 4am - 7.59am",1,4am - 7.59am
Q22b_1_8_2,"Thinking about a typical weekday BEFORE the lockdown, when did your household do the following ac... - Time of day (before lockdown) - Using a laptop, computer, or tablet 8am - 11.59am",1,8am - 11.59am
Q22b_1_8_3,"Thinking about a typical weekday BEFORE the lockdown, when did your household do the following ac... - Time of day (before lockdown) - Using a laptop, computer, or tablet 12pm - 3.59pm",1,12pm - 3.59pm
Q22b_1_8_4,"Thinking about a typical weekday BEFORE the lockdown, when did your household do the following ac... - Time of day (before lockdown) - Using a laptop, computer, or tablet 4pm - 7.59pm",1,4pm - 7.59pm
Q22b_1_8_5,"Thinking about a typical weekday BEFORE the lockdown, when did your household do the following ac... - Time of day (before lockdown) - Using a laptop, computer, or tablet 8pm - 11.59 pm",1,8pm - 11.59 pm
Q22b_1_8_6,"Thinking about a typical weekday BEFORE the lockdown, when did your household do the following ac... - Time of day (before lockdown) - Using a laptop, computer, or tablet 12am - 3.59am",1,12am - 3.59am
Q22b_1_9_1,"Thinking about a typical weekday BEFORE the lockdown, when did your household do the following ac... - Time of day (before lockdown) - Using electric gym equipment 4am - 7.59am",1,4am - 7.59am
Q22b_1_9_2,"Thinking about a typical weekday BEFORE the lockdown, when did your household do the following ac... - Time of day (before lockdown) - Using electric gym equipment 8am - 11.59am",1,8am - 11.59am
Q22b_1_9_3,"Thinking about a typical weekday BEFORE the lockdown, when did your household do the following ac... - Time of day (before lockdown) - Using electric gym equipment 12pm - 3.59pm",1,12pm - 3.59pm
Q22b_1_9_4,"Thinking about a typical weekday BEFORE the lockdown, when did your household do the following ac... - Time of day (before lockdown) - Using electric gym equipment 4pm - 7.59pm",1,4pm - 7.59pm
Q22b_1_9_5,"Thinking about a typical weekday BEFORE the lockdown, when did your household do the following ac... - Time of day (before lockdown) - Using electric gym equipment 8pm - 11.59 pm",1,8pm - 11.59 pm
Q22b_1_9_6,"Thinking about a typical weekday BEFORE the lockdown, when did your household do the following ac... - Time of day (before lockdown) - Using electric gym equipment 12am - 3.59am",1,12am - 3.59am
Q22b_2_1_1,"Thinking about a typical weekday BEFORE the lockdown, when did your household do the following ac... - If you don't know ... - Having baths ... then tick below",1,... then tick below
Q22b_2_2_1,"Thinking about a typical weekday BEFORE the lockdown, when did your household do the following ac... - If you don't know ... - Having showers ... then tick below",1,... then tick below
Q22b_2_3_1,"Thinking about a typical weekday BEFORE the lockdown, when did your household do the following ac... - If you don't know ... - Running the washing machine ... then tick below",1,... then tick below
Q22b_2_4_1,"Thinking about a typical weekday BEFORE the lockdown, when did your household do the following ac... - If you don't know ... - Using the tumble dryer ... then tick below",1,... then tick below
Q22b_2_5_1,"Thinking about a typical weekday BEFORE the lockdown, when did your household do the following ac... - If you don't know ... - Running the dishwasher ... then tick below",1,... then tick below
Q22b_2_6_1,"Thinking about a typical weekday BEFORE the lockdown, when did your household do the following ac... - If you don't know ... - Using the oven, cooker or grill ... then tick below",1,... then tick below
Q22b_2_7_1,"Thinking about a typical weekday BEFORE the lockdown, when did your household do the following ac... - If you don't know ... - Having the TV on, including for playing games ... then tick below",1,... then tick below
Q22b_2_8_1,"Thinking about a typical weekday BEFORE the lockdown, when did your household do the following ac... - If you don't know ... - Using a laptop, computer, or tablet ... then tick below",1,... then tick below
Q22b_2_9_1,"Thinking about a typical weekday BEFORE the lockdown, when did your household do the following ac... - If you don't know ... - Using electric gym equipment ... then tick below",1,... then tick below
Q17,"Did you, or anyone in your household, increase the amount of time spent at home as a result of the coronavirus outbreak for any period of time just before the lockdown (e.g. between roughly 1st March and the start of lockdown on the 23rd March 2020)? For eA2000IME20",1,Yes
Q17,"Did you, or anyone in your household, increase the amount of time spent at home as a result of the coronavirus outbreak for any period of time just before the lockdown (e.g. between roughly 1st March and the start of lockdown on the 23rd March 2020)? For eA2000IME20",2,No
