domain,master_var_name,concept,Sign Up Survey,2023 Survey,2025 Survey,Sign Up Survey Coding Type,2023 Survey Coding Type,2025 Survey Coding Type,Column Harmonisation,Master Dataframe Coding Type,notes
Finance,annual_income,Select option that corresponds with your recent gross household annual income?,,C1,Q48,,I,35,Yes,20.0,"SURVEY 2023 Answer: Below £10,000; £10,001 to £20,000; £20,001 to £30,000; £30,001 to £40,000; £40,001 to £50,000; £50,001 to £60,000; £60,001 to £70,000; £70,001 to £80,000; £80,001 to £90,000; £90,0001 to £100,000; Above £100,000; Prefer not to answer"
Finance,payment_method_el,Which of these methods do you use to pay for your energy? - electricity,,C2_electricity,Q46R2,,J,36,Yes,21.0,
Finance,payment_method_gas,Which of these methods do you use to pay for your energy? - gas,,C2_gas,Q46R1,,J,36,Yes,21.0,
Comfort,thermal_comfort,"During the cold winter weather, can you normally keep comfortably warm in your living room?",,C3,Q23,,E,37,Yes,26.0,
Housing,heating_difficulty_home,Do you feel your home is difficult to heat?,,C4_1,Q24_1,,K,26,Yes,22.0,
Finance,heating_affordability,Do you feel it is difficult to afford the fuel to heat your home?,,C4_2,Q24_2,,K,26,Yes,22.0,
Comfort,no_comfort_answer,"Prefer not to say, why not warm.",,C4_3,Q24_3,,K,26,Yes,22.0,
Comfort,none_above_comfort,None of the above applies for not being warm.,,C4_4,Q24_4,,K,26,Yes,22.0,
Comfort,other_reason_comfort,Other reason for not being warm.,,C4_5,Q24_5,,K,26,Yes,22.0,
Finance,heat_fuel_cost_affordability,How easy or difficult is it for you to meet your heating/fuel costs?,,C5,,,R,,,,
Comfort,leave_home_to_warm,"During this winter, do you leave your home to go to heated spaces elsewhere with the main purpose of keeping warm?",,C6,,,S,,,,
Demographics,age_group_0_5,How many people are there in 0-5 age group in your household?,,D2_0_5,,,F,,,,
Demographics,age_group_6_15,How many people are there in 6-15 age group in your household?,,D2_6-15,,,F,,,,For 2023 Survey the column is:D2_6_15 in the dataframe. Dictionary has typo.
Demographics,age_group_0_15,How many people are there in 0-15 age group in your household?,,,Q1R1,,,,,,
Demographics,age_group_16_24,How many people are there in 16-24 age group in your household?,,D2_16-24,Q1R2,,This is just the number of people in that age group. Does not need numeric coding.,This is just the number of people in that age group. Does not need numeric coding.,No,,For 2023 Survey the column is:D2_16_24 in the dataframe. Dictionary has typo.
Demographics,age_group_25_44,How many people are there in 24-44 age group in your household?,,D2_24_44,Q1R3,,This is just the number of people in that age group. Does not need numeric coding.,This is just the number of people in that age group. Does not need numeric coding.,No,,For 2023 Survey the column is:D2_25_44 in the dataframe. Dictionary has typo.
Demographics,age_group_45_64,How many people are there in 45-64 age group in your household?,,D2_45-64,Q1R4,,This is just the number of people in that age group. Does not need numeric coding.,This is just the number of people in that age group. Does not need numeric coding.,No,,For 2023 Survey the column is:D2_45_64 in the dataframe. Dictionary has typo.
Demographics,age_group_65_74,How many people are there in 65-74 age group in your household?,,D2_65_74,Q1R5,,F,This is just the number of people in that age group. Does not need numeric coding.,No,,
